stock,sector,attention_weight,expected_lag_intervals,expected_lag_minutes
AAPL,TARGET,0.090866864,4.8979807,24.489902
SPY,MARKET,0.09112885,7.07556,35.3778
XOM,OIL,0.090774044,4.956747,24.783735
CVX,OIL,0.09078023,5.8946333,29.473167
SLB,OIL,0.09116607,7.7332726,38.666363
HAL,OIL,0.09103309,5.5250154,27.625076
COP,OIL,0.09050048,4.3586617,21.793308
MSFT,TECH,0.09029433,4.253701,21.268505
NVDA,TECH,0.091108344,7.8878794,39.439396
AMZN,TECH,0.09130019,7.3206706,36.60335
ADBE,TECH,0.091047496,3.6071386,18.035694
