stock,sector,attention_weight,expected_lag_intervals,expected_lag_minutes
APA,TARGET,0.06686561,5.6719933,28.359966
SPY,MARKET,0.087258786,4.509275,22.546375
XOM,OIL,0.08390666,5.762375,28.811874
CVX,OIL,0.08237661,6.4894266,32.447132
SLB,OIL,0.08617919,5.472757,27.363785
HAL,OIL,0.08258103,4.3568673,21.784336
COP,OIL,0.07873328,7.28816,36.4408
AAPL,TECH,0.087063305,5.134755,25.673775
MSFT,TECH,0.0789009,6.019369,30.096846
NVDA,TECH,0.08962607,7.8865623,39.43281
AMZN,TECH,0.09110204,6.3984404,31.992203
ADBE,TECH,0.08540649,4.3752127,21.876064
